time,joint_1_angle,joint_1_phase,joint_1_phase_sin,joint_2_angle,joint_2_phase,joint_2_phase_sin,joint_3_angle,joint_3_phase,joint_3_phase_sin,joint_4_angle,joint_4_phase,joint_4_phase_sin,joint_5_angle,joint_5_phase,joint_5_phase_sin,joint_6_angle,joint_6_phase,joint_6_phase_sin
1.837,-0.2515804067804137,4.136303260975464,-0.8386013559347127,0.2757111410833693,1.975961922005992,0.9190371369445647,0.2421346888316162,2.202342489061183,0.8071156294387211,-0.01705456924419031,6.2263060782703485,-0.05684856414730106,0.012698738147947154,0.04234177793358537,0.042329127159823864,-0.29562041188054466,4.541308379610682,-0.9854013729351493
1.838,-0.2535636039819439,4.148554404599256,-0.8452120132731465,0.27413514231247976,1.9890889552007305,0.9137838077082663,0.24002306078612592,2.214169309165099,0.8000768692870868,-0.013152214786990383,6.239330535358708,-0.04384071595663463,0.016133421029603714,0.05380402564659211,0.05377807009867906,-0.29624653475116774,4.554036664046417,-0.9874884491705596
1.839,-0.255508614361366,4.160804722550094,-0.8516953812045538,0.27251209902516066,2.0022144459324083,0.9083736634172026,0.23787797457246054,2.225995503717695,0.7929265819082021,-0.00924795635812767,6.252353901621169,-0.03082652119375891,0.019565951729327482,0.06526616464177507,0.0652198390977583,-0.29682459444047604,4.566763359858617,-0.9894153148015873
1.84,-0.25741515381332114,4.173054215190423,-0.8580505127110708,0.27084230739855275,2.01533839446766,0.9028076913285096,0.23569973532287675,2.237821073670518,0.7856657844095895,-0.005342456405373493,6.265376177770914,-0.01780818801791165,0.02299588039130285,0.07672819839792519,0.0766529346376762,-0.29735451542934477,4.5794884701153284,-0.9911817180978163
1.841,-0.2592829440987237,4.18530288289002,-0.8642764803290794,0.26912607148888656,2.0284608010822183,0.8970869049629555,0.2334886527147851,2.2496460199776456,0.778295509049284,-0.001436377310281607,6.278397364518554,-0.004787924367605358,0.0264227575161165,0.08819013038372324,0.08807585838705503,-0.2978362300016783,4.592211997880131,-0.992787433338928
1.842,-0.26111171288357227,4.197550726025958,-0.8703723762785746,0.26736370317243985,2.0415816660608916,0.8912123439081332,0.23124504092593548,2.2614703435956716,0.770816803086452,0.00246961872386437,0.008232155392541962,0.008232062412881238,0.029846134018567023,0.09965196405772102,0.09948711339522345,-0.2982696782484802,4.604933946212123,-0.9942322608282679
1.843,-0.2629011937768494,4.209797744982573,-0.8763373125894983,0.2655555220852126,2.054700989697547,0.8851850736173758,0.22896921858900174,2.273294045483692,0.7632307286300061,0.006374869783992965,0.02125116545753194,0.021249565946643227,0.03326556128542307,0.11111370286832287,0.11088520428474362,-0.2986548080706808,4.617654318165915,-0.9955160269022697
1.844,-0.26465112636750854,4.222043940151429,-0.8821704212250288,0.26370185556133097,2.067818772295088,0.8790061852044369,0.2266615087455709,2.2851171266032915,0.7555383624852366,0.010278714359053243,0.03426908823686368,0.03426238119684416,0.03668059123312286,0.12257535025376748,0.12226863744374292,-0.2989915751807219,4.630373116791623,-0.99663858393574
1.845,-0.26636125626054047,4.2342893119312786,-0.8878708542018019,0.26180303857019277,2.0809350141654344,0.8726767952339763,0.22432223879954533,2.29693958791853,0.7477407959984848,0.014180491451673721,0.04728592443091657,0.04726830483891242,0.04009077636540798,0.13403690964210999,0.13363592121802667,-0.29927994310290207,4.64309034513486,-0.9975998103430073
1.846,-0.2680313351121175,4.246533860728034,-0.8934377837070588,0.25985941365236803,2.0940497156295024,0.8661980455078938,0.22195174046996285,2.308761430395928,0.7398391348998765,0.018079540689651903,0.06030167473753029,0.06026513563217304,0.0434956698308844,0.14549838445120444,0.14498556610294805,-0.29951988317248246,4.655806006236728,-0.998399610574942
1.847,-0.2696611206638086,4.258777586954728,-0.8988704022126958,0.2578713308542657,2.107162877017183,0.8595711028475527,0.21955034974324283,2.320582655004453,0.7318344991441431,0.021975202437256102,0.07331633985201208,0.0732506747908537,0.04689482548050329,0.1569597780886865,0.15631608493501103,-0.29971137453355573,4.668520103133807,-0.9990379151118528
1.848,-0.27125037677586217,4.271020491031478,-0.9041679225862076,0.25583914766158133,2.120274498667321,0.8527971588719381,0.2171184068248651,2.332403262715505,0.7237280227495506,0.02586681790632086,0.08632992046714413,0.0862227263544029,0.05028779792495506,0.1684210939519564,0.1676259930831836,-0.29985440413567965,4.6812326388581535,-0.999514680452266
